ID,SMILES,Monoisotopic_Mass,InChI_Key
C00132,N[C@@H](Cc1c[nH]cn1)C(=O)O,155.069476528,HNDVDQJCIGZPNO-YFKPBYRVSA-N
C00133,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,837.1570737739999,CRFNGMNYKDXRTN-CITAKDKDSA-N
C00134,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,180.063388104,CDAISMWEOUEBRE-GPIVLXJGSA-N
C00135,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,221.0899372,OVRNDRQMDRJTHS-RTRLPJTCSA-N
C00136,CC(C)C(=O)C(=O)O,116.047344116,QHKABHOOEWYVLI-UHFFFAOYSA-N
C00137,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2,457.17098145599994,QYNUQALWYRSVHF-PZORYLMUSA-N
C00138,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,363.057999038,RQFCJASXJCIDSX-UUOKFMHZSA-N
C00139,*S,,
C00140,Oc1ccccc1,94.041864812,ISWSIDIOOBJBQZ-UHFFFAOYSA-N
C00141,Nc1ncnc2[nH]cnc12,135.05449516,GFFGJBXGBJISGV-UHFFFAOYSA-N
C00143,O=C(O)[C@@H]1CCCN1,115.063328528,ONIBWKKTOPOVIA-BYPYZUCNSA-N
C00144,O=C(O)C[C@H](O)C(=O)O,134.021523292,BJEPYKJPYRNKOW-REOHCLBHSA-N
C00145,[Mo],97.9054082,ZOKXTWBITQBERF-UHFFFAOYSA-N
C00146,*[C@H](N)C(=O)O,,
C00147,NC(=O)C[C@H](N)C(=O)O,132.053492116,DCXYFEDJOCDNAF-REOHCLBHSA-N
C00148,NC(=O)c1cccnc1,122.048012812,DFPAKSUCGFBDDF-UHFFFAOYSA-N
C00149,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,1005.3448745420002,MNBKLUUYKPBKDU-BBECNAHFSA-N
C00150,N[C@@H](CCS)C(=O)O,135.035399528,FFFHZYDWPBMWHY-VKHMYHEASA-N
C00151,O=C(O)c1ccc(O)cc1,138.031694052,FJKROLUGYXJWQN-UHFFFAOYSA-N
C00152,*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O,,
C00153,O=C(O)CC(O)(CC(=O)O)C(=O)O,192.02700259600002,KRKNYBCHXYNGOX-UHFFFAOYSA-N
C00154,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,180.063388104,WQZGKKKJIJFFOK-QTVWNMPRSA-N
C00155,O=C(O)CO,76.01604398799999,AEMRFAOFKBGASW-UHFFFAOYSA-N
C00156,*C(=O)C(=O)O,,
